score,title,type,genres,studios,main_actors
5.89,Bloodivores,TV,Action Supernatural Vampire,Emon Creators_in_Pack Namu_Animation,Ichiki_Mitsuhiro Yamamoto_Aya Akabane_Kenji Kobashi_Satomi Yamaguchi_Shouhei Katou_Yuri Kitamura_Eri 
7.55,Blood_Lad,TV,Action Comedy Demons Seinen Supernatural Vampire,Kadokawa_Shoten KlockWorx flying_DOG Viz_Media Brain,s_Base 
7.75,Bleach_Movie_4:_Jigoku-hen,Movie,Action Comedy Super_Power Supernatural Shounen,Viz_Media Studio_Pierrot,Itou_Kentarou Sugiyama_Noriaki Nakai_Kazuya Orikasa_Fumiko Morita_Masakazu 
7.66,Bleach_Movie_3:_Fade_to_Black_-_Kimi_no_Na_wo_Yobu,Movie,Action Comedy Super_Power Supernatural Shounen,Viz_Media Studio_Pierrot,Hirano_Aya Orikasa_Fumiko Morita_Masakazu Kamiya_Hiroshi 
7.60,Bleach_Movie_2:_The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,Movie,Action Adventure Supernatural Shounen,Shueisha Viz_Media Studio_Pierrot,Park_Romi Morita_Masakazu Ishida_Akira Matsutani_Kaya 
7.58,Bleach_Movie_1:_Memories_of_Nobody,Movie,Action Adventure Super_Power,TV_Tokyo Dentsu Shueisha Viz_Media Studio_Pierrot,Ebara_Masashi Orikasa_Fumiko Morita_Masakazu Csongor_Szalay Saito_Chiwa 
7.24,Black★Rock_Shooter_(OVA),OVA,Action Slice_of_Life Drama School,Rakuonsha Good_Smile_Company Ordet,Hanazawa_Kana Sawashiro_Miyuki Hanazawa_Kana Sawashiro_Miyuki 
7.07,Black★Rock_Shooter_(TV),TV,Action Drama School Slice_of_Life,Aniplex Dentsu Fuji_TV Ultra_Super_Pictures Sony_Music_Entertainment Fuji_Pacific_Music_Publishing Good_Smile_Company FUNimation_Entertainment Ordet SANZIGEN,Noto_Mamiko Hanazawa_Kana Sawashiro_Miyuki Hanazawa_Kana Asumi_Kana Sawashiro_Miyuki 
8.30,Black_Lagoon:_The_Second_Barrage,TV,Action Seinen,Geneon_Universal_Entertainment Front_Line FUNimation_Entertainment Geneon_Entertainment_USA Madhouse,Hirata_Hiroaki Isobe_Tsutomu Namikawa_Daisuke Toyoguchi_Megumi 
7.44,Black_Bullet,TV,Action Sci-Fi Mystery Seinen,Geneon_Universal_Entertainment AT-X Showgate NBCUniversal_Entertainment_Japan Sentai_Filmworks Kinema_Citrus Orange,Hidaka_Rina Kaji_Yuki Kurosawa_Tomoyo Horie_Yui 
7.95,Bleach,TV,Action Comedy Super_Power Supernatural Shounen,TV_Tokyo Aniplex Dentsu TV_Tokyo_Music Studio_Kelmadick Viz_Media Studio_Pierrot,Matsuoka_Yuki Sugiyama_Noriaki Honda_Takako Orikasa_Fumiko Matsuoka_Yuki Morita_Masakazu Yasumoto_Hiroki 
8.17,Black_Lagoon,TV,Action Seinen,Geneon_Universal_Entertainment Shogakukan FUNimation_Entertainment Geneon_Entertainment_USA Madhouse,Hirata_Hiroaki Isobe_Tsutomu Namikawa_Daisuke Toyoguchi_Megumi 
7.25,Binan_Koukou_Chikyuu_Bouei-bu_LOVE!_LOVE!,TV,Slice_of_Life Comedy Magic School,Pony_Canyon Ponycan_USA Studio_Comet,Yamamoto_Kazutomi Nishiyama_Koutarou Shirai_Yuusuke Mugihito Umehara_Yuuichirou Masuda_Toshiki 
7.11,Binan_Koukou_Chikyuu_Bouei-bu_LOVE!,TV,Slice_of_Life Comedy Magic School,Sotsu Pony_Canyon Ponycan_USA Diomedea,Yamamoto_Kazutomi Nishiyama_Koutarou Shirai_Yuusuke Mugihito Umehara_Yuuichirou Masuda_Toshiki 
5.69,Big_Order_(TV),TV,Action Shounen Super_Power,Lantis Rakuonsha Crunchyroll Asread,Morita_Masakazu Mikami_Shiori 
6.81,Berserk_(2016),TV,Action Military Adventure Horror Demons Supernatural Drama Romance Fantasy Seinen,WOWOW Mainichi_Broadcasting_System Hakusensha Ultra_Super_Pictures LIDENFILMS NBCUniversal_Entertainment_Japan Lucent_Pictures_Entertainment Docomo_Anime_Store Koei_Tecmo_Games Crunchyroll Millepensee GEMBA,Yukinari_Toa Iwanaga_Hiroaki Shimono_Hiro Mizuhara_Kaoru 
5.66,Bernard-jou_Iwaku.,TV,Comedy School,DAX_Production Dream_Creation Gen,ei Creators_in_Pack 
7.49,Ben-To,TV,Action Martial_Arts Comedy,Pony_Canyon AT-X Magic_Capsule FUNimation_Entertainment David_Production,Yuuki_Aoi Shimono_Hiro Katou_Emiri Ise_Mariya 
8.04,Beelzebub,TV,Action Comedy Demons Supernatural School Shounen,Studio_Pierrot Dentsu Yomiuri_Telecasting_Corporation Shueisha Discotek_Media Pierrot_Plus,Sawashiro_Miyuki Mizushima_Takahiro Itou_Shizuka Konishi_Katsuyuki 
5.92,Battery,TV,Slice_of_Life Sports Drama,Aniplex Dentsu Kadokawa_Shoten Fuji_TV Kyoraku_Industrial_Holdings Kansai_Telecasting_Corporation Zero-G,Uchiyama_Kouki Hatanaka_Tasuku 
6.97,Barakamon:_Mijikamon,ONA,Comedy,Kinema_Citrus,Ono_Daisuke Hara_Suzuko 
8.50,Barakamon,TV,Comedy Slice_of_Life,VAP Nippon_Television_Network_Corporation FUNimation_Entertainment Kinema_Citrus,Ono_Daisuke Hara_Suzuko 
7.45,Bamboo_Blade,TV,Comedy School Seinen Sports,Square_Enix d-rights Studio_Tulip KlockWorx flying_DOG FUNimation_Entertainment AIC_A.S.T.A.,Satou_Rina Toyoguchi_Megumi Ishida_Akira Konishi_Katsuyuki Hirohashi_Ryou Kojima_Sachiko Kuwashima_Houko Sakaguchi_Daisuke 
6.45,Bakuon!!_OVA,OVA,Slice_of_Life Cars Sports Seinen,TMS_Entertainment,Uchiyama_Yumi Yamaguchi_Rikako Ueda_Reina Touyama_Nao 
6.61,Bakuon!!,TV,Comedy Seinen Slice_of_Life,Lantis DAX_Production NBCUniversal_Entertainment_Japan Sentai_Filmworks TMS_Entertainment,Uchiyama_Yumi Yamaguchi_Rikako Ueda_Reina Touyama_Nao 
8.71,Bakuman._3rd_Season,TV,Comedy Drama Romance Shounen,NHK J.C.Staff,Abe_Atsushi Hino_Satoshi 
8.52,Bakuman._2nd_Season,TV,Comedy Drama Romance Shounen,NHK Media_Blasters J.C.Staff,Abe_Atsushi Hino_Satoshi 
8.35,Bakuman.,TV,Comedy Romance Shounen,NHK Media_Blasters NYAV_Post J.C.Staff,Abe_Atsushi Hino_Satoshi 
8.39,Bakemonogatari,TV,Mystery Supernatural Romance Vampire,Aniplex Kodansha Aniplex_of_America Shaft,Kamiya_Hiroshi Katou_Emiri Horie_Yui Sawashiro_Miyuki Hanazawa_Kana Saito_Chiwa 
7.98,Baka_to_Test_to_Shoukanjuu_Ni!,TV,Comedy Romance School Super_Power,Lantis Media_Factory Enterbrain Cospa Kadokawa_Contents_Gate TV_Tokyo_Music PRA T.O_Entertainment Hakuhodo_DY_Media_Partners FUNimation_Entertainment Silver_Link.,Harada_Hitomi Katou_Emiri Isomura_Tomomi Suzuki_Tatsuhisa Hirata_Mana Mizuhashi_Kaori Miyata_Kouki Shimono_Hiro 
7.83,Baka_to_Test_to_Shoukanjuu,TV,Comedy Romance School Super_Power,Lantis Media_Factory Cospa T.O_Entertainment FUNimation_Entertainment Silver_Link.,Harada_Hitomi Katou_Emiri Isomura_Tomomi Suzuki_Tatsuhisa Mizuhashi_Kaori Miyata_Kouki Shimono_Hiro 
8.54,Baccano!,TV,Action Comedy Supernatural Historical Mystery Seinen,Aniplex Sakura_Create Happinet_Pictures FUNimation_Entertainment Aniplex_of_America Brain,s_Base 
6.81,Azumanga_Web_Daioh,ONA,Comedy School Slice_of_Life,J.C.Staff,Saiga_Mitsuki Kawasumi_Ayako Saitou_Ayaka Yukino_Satsuki Hanba_Tomoe 
7.11,Azumanga_Daioh:_Gekijou_Tanpen,Special,Comedy School Slice_of_Life,Kadokawa_Shoten ADV_Films J.C.Staff,Kuwashima_Houko Matsuoka_Yuki Kaneda_Tomoko Tanaka_Rie Asakawa_Yuu Higuchi_Chieko Hiramatsu_Akiko 
8.06,Azumanga_Daioh,TV,Slice_of_Life Comedy School,Genco Lantis Imagica TV_Tokyo_Music Cosmic_Ray ADV_Films Sentai_Filmworks J.C.Staff,Kuwashima_Houko Matsuoka_Yuki Hisakawa_Aya Kaneda_Tomoko Tanaka_Rie Asakawa_Yuu Higuchi_Chieko Hiramatsu_Akiko 
7.61,Ayakashi:_Japanese_Classic_Horror,TV,Fantasy Historical Horror,Dentsu SKY_Perfect_Well_Think Fuji_TV Asmik_Ace_Entertainment Sony_Music_Entertainment Geneon_Entertainment_USA Toei_Animation,Midorikawa_Hikaru Sakurai_Takahiro Koyama_Mami Hirata_Hiroaki Kuwashima_Houko 
7.47,Asura_Cryin,_2,TV,Action Supernatural Mecha,TV_Tokyo Starchild_Records Raku_High_Student_Council Seven_Arcs 
7.10,Asura_Cryin,,TV,Action Supernatural Mecha,TV_Tokyo Starchild_Records Raku_High_Student_Council Seven_Arcs 
7.23,Asura,Movie,Drama Historical,Sotsu Toei_Animation,Nozawa_Masako 
7.02,Asu_no_Yoichi!,TV,Harem Comedy Romance Ecchi Martial_Arts Shounen,Lantis TBS Movic Sentai_Filmworks AIC,Hanazawa_Kana Satou_Rina Tomatsu_Haruka Tamura_Yukari Okamoto_Nobuhiko 
6.83,Astarotte_no_Omocha!_EX,OVA,Comedy Demons Ecchi Fantasy Romance Seinen,Diomedea,Tamura_Yukari Satou_Rina Minaguchi_Yuko Kugimiya_Rie 
6.81,Astarotte_no_Omocha!,TV,Comedy Demons Ecchi Fantasy Romance Seinen,Kadokawa_Shoten Pony_Canyon DAX_Production KlockWorx ASCII_Media_Works Diomedea,Tamura_Yukari Satou_Rina Kugimiya_Rie 
7.70,Arslan_Senki_(TV):_Fuujin_Ranbu,TV,Action Adventure Historical Supernatural Drama Fantasy Shounen,Mainichi_Broadcasting_System Magic_Capsule Graphinica NBCUniversal_Entertainment_Japan FUNimation_Entertainment LIDENFILMS,Kobayashi_Yuusuke Hosoya_Yoshimasa Hanae_Natsuki Sakamoto_Maaya KENN Namikawa_Daisuke Kaji_Yuki 
7.88,Arslan_Senki_(TV),TV,Action Adventure Historical Drama Fantasy Shounen,Dentsu Mainichi_Broadcasting_System Kodansha Magic_Capsule Graphinica NBCUniversal_Entertainment_Japan FUNimation_Entertainment SANZIGEN LIDENFILMS,Kobayashi_Yuusuke Hosoya_Yoshimasa Hanae_Natsuki Sakamoto_Maaya KENN Namikawa_Daisuke Kaji_Yuki 
7.03,Arslan_Senki,OVA,Action Adventure Drama Fantasy Historical,Production_I.G Kadokawa_Shoten Movic Sony_Music_Entertainment Aubec Central_Park_Media J.C.Staff Animate_Film,Yamaguchi_Kappei Inoue_Kazuhiko Katsuki_Masako Yao_Kazuki Shiozawa_Kaneto Ikeda_Shuuichi 
8.13,Aria_The_OVA:_Arietta,OVA,Fantasy Sci-Fi Shounen Slice_of_Life,Nozomi_Entertainment Hal_Film_Maker,Ohara_Sayaka Hazuki_Erino Nishimura_Chinami 
8.16,Aria_The_Origination:_Sono_Choppiri_Himitsu_no_Basho_ni...,Special,Comedy Shounen Slice_of_Life,Nozomi_Entertainment Hal_Film_Maker,Hazuki_Erino Nishimura_Chinami 
7.27,Aria_The_Origination_Picture_Drama,Special,Fantasy Sci-Fi Shounen Slice_of_Life,Nozomi_Entertainment Hal_Film_Maker,Hirohashi_Ryou Ohara_Sayaka Saito_Chiwa Hazuki_Erino 
8.64,Aria_The_Origination,TV,Fantasy Sci-Fi Shounen Slice_of_Life,Nozomi_Entertainment Hal_Film_Maker,Hirohashi_Ryou Minagawa_Junko Ohara_Sayaka Kawakami_Tomoko Saito_Chiwa Hazuki_Erino Nishimura_Chinami 
7.56,Aria_The_Natural:_Sono_Futatabi_Deaeru_Kiseki_ni...,Special,Fantasy Sci-Fi Shounen Slice_of_Life,Nozomi_Entertainment Hal_Film_Maker,Hirohashi_Ryou Saito_Chiwa Hazuki_Erino Nishimura_Chinami 
8.30,Aria_The_Natural,TV,Fantasy Sci-Fi Shounen Slice_of_Life,Nozomi_Entertainment Hal_Film_Maker,Hirohashi_Ryou Minagawa_Junko Ohara_Sayaka Kawakami_Tomoko Saito_Chiwa Hazuki_Erino Nishimura_Chinami 
8.20,Aria_The_Avvenire,Special,Fantasy Sci-Fi Shounen Slice_of_Life,Shochiku TYO_Animations,Mizuhashi_Kaori Hirohashi_Ryou Kayano_Ai Minagawa_Junko Ohara_Sayaka Kawakami_Tomoko Saito_Chiwa Nakahara_Mai Hazuki_Erino Nishimura_Chinami 
7.79,Aria_The_Animation,TV,Fantasy Sci-Fi Shounen Slice_of_Life,Nozomi_Entertainment Hal_Film_Maker,Hirohashi_Ryou Minagawa_Junko Ohara_Sayaka Kawakami_Tomoko Saito_Chiwa Hazuki_Erino Nishimura_Chinami 
7.38,Area_no_Kishi,TV,Comedy School Shounen Sports,TV_Asahi Shin-Ei_Animation,Sanpei_Yuuko Itou_Shizuka 
6.97,Arcana_Famiglia:_Capriccio_-_stile_Arcana_Famiglia,OVA,Romance Shoujo,Frontier_Works Movic Warner_Bros. Showgate Sentai_Filmworks J.C.Staff,Kosugi_Juurouta Yoshino_Hiroyuki Yusa_Kouji Fukuyama_Jun Nakamura_Yuuichi Yonaga_Tsubasa Sugita_Tomokazu 
6.43,Arcana_Famiglia,TV,Action Harem Romance Shoujo,Frontier_Works Movic Warner_Bros. Showgate Sentai_Filmworks J.C.Staff,Kosugi_Juurouta Yoshino_Hiroyuki Yuuki Noto_Mamiko Yusa_Kouji Muranaka_Tomo Fukuyama_Jun Oki_Kanae Nakamura_Yuuichi Mori_Yuuko Yonaga_Tsubasa Sugita_Tomokazu Han_Megumi 
6.68,Arata_Kangatari,TV,Adventure Fantasy Shounen,TV_Tokyo Sotsu Lantis JM_animation Satelight,Matsuoka_Yoshitsugu Okamoto_Nobuhiko Kimura_Ryouhei Minagawa_Junko Ono_Yuuki Takagaki_Ayahi 
7.85,Arakawa_Under_the_Bridge_x_Bridge,TV,Comedy Romance Seinen,Square_Enix Starchild_Records TV_Tokyo_Music GANSIS NIS_America,_Inc. Shaft,Kamiya_Hiroshi Sakamoto_Maaya 
7.71,Arakawa_Under_the_Bridge,TV,Comedy Romance Seinen,Square_Enix Starchild_Records Rakuonsha NIS_America,_Inc. Shaft,Kamiya_Hiroshi Sakamoto_Maaya 
6.25,Aquarian_Age:_Sign_for_Evolution,TV,Action Adventure Fantasy Music Romance Sci-Fi Shounen Super_Power Supernatural,Broccoli ADV_Films Madhouse,Tanaka_Nobuyuki Nishimura_Chinami Aoki_Mayuko 
6.03,Aquarian_Age:_Saga_II_-_Don,t_Forget_Me...,OVA,Action Super_Power Drama,Broccoli Synch-Point Madhouse 
7.58,Aoki_Hagane_no_Arpeggio:_Ars_Nova_DC,Movie,Action Sci-Fi Seinen,Sotsu DAX_Production SANZIGEN,Okitsu_Kazuyuki Fuchigami_Mai 
8.12,Aoki_Hagane_no_Arpeggio:_Ars_Nova_Cadenza,Movie,Action Sci-Fi Seinen,Sotsu SANZIGEN,Okitsu_Kazuyuki Fuchigami_Mai 
7.55,Aoki_Hagane_no_Arpeggio:_Ars_Nova,TV,Action Sci-Fi Seinen,Sotsu KlockWorx flying_DOG Ultra_Super_Pictures Showgate Shounen_Gahousha Discotek_Media SANZIGEN,Okitsu_Kazuyuki Fuchigami_Mai 
7.29,Aoharu_x_Kikanjuu,TV,Action Comedy Sports Shounen,TBS Sentai_Filmworks Brain,s_Base 
6.97,Ao_no_Kanata_no_Four_Rhythm,TV,Drama School Sci-Fi Sports,TV_Tokyo Pony_Canyon AT-X DLE NBCUniversal_Entertainment_Japan Docomo_Anime_Store bilibili Kanon_Sound Hobibox Gonzo,Yamamoto_Nozomi Osaka_Ryota Fukuen_Misato Asakura_Azumi 
7.26,Ao_no_Exorcist:_Ura_Ex,Special,Action Fantasy Supernatural Shounen,Aniplex Aniplex_of_America A-1_Pictures,Kakihara_Tetsuya Kitamura_Eri Kaji_Yuki Hanazawa_Kana Fukuyama_Jun Okamoto_Nobuhiko Kamiya_Hiroshi Yusa_Kouji Nakai_Kazuya 
7.43,Ao_no_Exorcist:_Kuro_no_Iede,Special,Action Demons Fantasy Shounen Supernatural,Aniplex Aniplex_of_America A-1_Pictures,Takagaki_Ayahi 
7.88,Ao_no_Exorcist_Movie,Movie,Action Demons Fantasy Shounen Supernatural,Aniplex Shueisha Aniplex_of_America A-1_Pictures,Kiuchi_Hidenobu Fukuyama_Jun Okamoto_Nobuhiko Kugimiya_Rie 
7.92,Ao_no_Exorcist,TV,Action Demons Fantasy Shounen Supernatural,Aniplex Dentsu Mainichi_Broadcasting_System Movic Sakura_Create Shueisha Aniplex_of_America A-1_Pictures,Fukuyama_Jun Fujimura_Ayumi Watanabe_Akeno Okamoto_Nobuhiko 
7.76,Ao_Haru_Ride_OVA,OVA,Slice_of_Life Romance School Shoujo,TOHO_animation Production_I.G,Kaji_Yuki Uchida_Maaya 
7.89,Ao_Haru_Ride,TV,Comedy Drama Romance School Shoujo Slice_of_Life,Mainichi_Broadcasting_System Movic Sony_Music_Entertainment TOHO_animation Shueisha BS11 Animatic Hakuhodo_DY_Media_Partners Sony_PCL Sentai_Filmworks Production_I.G,Shiraishi_Ryoko Kaji_Yuki Uchida_Maaya 
7.42,Ansatsu_Kyoushitsu_(TV):_Deai_no_Jikan,Special,Action Comedy School Shounen,FUNimation_Entertainment Lerche,Sugita_Tomokazu Fukuyama_Jun Fuchigami_Mai 
8.68,Ansatsu_Kyoushitsu_(TV)_2nd_Season,TV,Action Comedy School Shounen,Dentsu Fuji_TV DAX_Production Kansai_Telecasting_Corporation FUNimation_Entertainment Lerche,Okamoto_Nobuhiko Suzaki_Aya Fukuyama_Jun Fuchigami_Mai 
8.20,Ansatsu_Kyoushitsu_(TV),TV,Action Comedy School Shounen,Dentsu Fuji_TV DAX_Production FUNimation_Entertainment Lerche,Okamoto_Nobuhiko Suzaki_Aya Fukuyama_Jun Fuchigami_Mai 
7.88,Another,TV,Horror Mystery School Supernatural Thriller,Lantis Kadokawa_Shoten Toho KlockWorx Bandai_Namco_Live_Creative NTT_Docomo Sentai_Filmworks P.A._Works,Takamori_Natsumi Abe_Atsushi 
7.17,Anne_Happy♪,TV,Slice_of_Life Comedy School,Sotsu Contents_Seed Silver_Link.,Yoshioka_Mayu Yamamura_Hibiku Hanamori_Yumiri Shiraishi_Haruka Yasuno_Kiyono 
5.87,Anitore!_XX,TV,Comedy Sports,Earth_Star_Entertainment F.M.F Rising_Force,Suzuki_Eri Waki_Azumi Takao_Kanon Itou_Miku Komaki_Miyu Naganawa_Maria 
5.61,Anitore!_EX,TV,Comedy Sports,Earth_Star_Entertainment F.M.F Rising_Force,Waki_Azumi Takao_Kanon Itou_Miku Komaki_Miyu Naganawa_Maria 
8.39,Angel_Beats!,TV,Action Comedy Drama School Supernatural,Aniplex Dentsu Mainichi_Broadcasting_System CBC Movic Visual_Art,s ASCII_Media_Works Sentai_Filmworks P.A._Works 
6.39,Amnesia,TV,Mystery Romance Fantasy Josei,Geneon_Universal_Entertainment Frontier_Works Movic AT-X DAX_Production Showgate Sentai_Filmworks Brain,s_Base 
6.16,Ange_Vierge,TV,Adventure Magic Fantasy School,Grooove Silver_Link.,Hara_Yumi Tachibana_Rika Toyosaki_Aki Bridcutt_Sarah_Emi Kotobuki_Minako 
7.44,Amanchu!,TV,Slice_of_Life Comedy School Shounen,Production_I.G Frontier_Works Shochiku AT-X flying_DOG Tokyo_MX Mag_Garden J.C.Staff,Suzuki_Eri Oonishi_Saori Umehara_Yuuichirou Kayano_Ai 
7.68,Amagi_Brilliant_Park,TV,Comedy Magic,Avex_Entertainment TBS DAX_Production flying_DOG Mobcast Sentai_Filmworks Kyoto_Animation,Fujii_Yukiyo Uchiyama_Kouki Kakuma_Ai 
7.62,Amaama_to_Inazuma,TV,Slice_of_Life Comedy Seinen,Toei_Video Kodansha Shin-Ei_Animation DAX_Production Asmik_Ace_Entertainment Yomiuri_TV_Enterprise Sumitomo_Corporation TMS_Entertainment,Hayami_Saori Endou_Rina Nakamura_Yuuichi 
7.17,All_Out!!,TV,Sports School Seinen,Telecom_Animation_Film FUNimation_Entertainment Madhouse TMS_Entertainment,Chiba_Shouya Adachi_Yuto 
7.15,Aldnoah.Zero_2nd_Season,TV,Action Mecha Sci-Fi Space,Aniplex Movic Nitroplus Houbunsha MAGES. Tokyo_MX Asahi_Broadcasting_Corporation BS11 Aniplex_of_America A-1_Pictures TROYCA,Hanae_Natsuki Ono_Kensho Amamiya_Sora 
7.66,Aldnoah.Zero,TV,Action Mecha Sci-Fi,Aniplex Movic Nitroplus Houbunsha MAGES. Tokyo_MX Asahi_Broadcasting_Corporation BS11 Aniplex_of_America A-1_Pictures TROYCA,Hanae_Natsuki Ono_Kensho Amamiya_Sora 
6.82,Akuma_no_Riddle,TV,Action School Shoujo_Ai,Mainichi_Broadcasting_System Pony_Canyon DAX_Production FUNimation_Entertainment Diomedea,Suwa_Ayaka Kanemoto_Hisako 
7.22,Aku_no_Hana,TV,Drama Psychological Romance School,Starchild_Records Animax Kodansha KlockWorx GANSIS Sentai_Filmworks Zexcs,Ueda_Shinichirou Ise_Mariya Hikasa_Yoko 
7.84,AKB0048:_Next_Stage,TV,Music Sci-Fi,Starchild_Records Sentai_Filmworks Satelight,Nakaya_Sayaka Sato_Amina Hata_Sawako Kanda_Akemi Satou_Sumire Iwata_Karen Ishida_Haruka Yagami_Kumi Watanabe_Mayu Mita_Mao 
7.55,AKB0048,TV,Music Sci-Fi,Starchild_Records Magic_Capsule GANSIS Sentai_Filmworks Satelight,Nakaya_Sayaka Sato_Amina Hata_Sawako Satou_Sumire Iwata_Karen Ishida_Haruka Yagami_Kumi Watanabe_Mayu Mita_Mao 
8.23,Akatsuki_no_Yona,TV,Action Adventure Comedy Fantasy Romance Shoujo,Hakusensha AT-X Marvelous_AQL Tokyo_MX FUNimation_Entertainment Studio_Pierrot,Suwabe_Junichi Morita_Masakazu Chisuga_Haruka Kobayashi_Sanae Okamoto_Nobuhiko Takagaki_Ayahi Maeno_Tomoaki Saito_Chiwa Minagawa_Junko 
6.69,Akaneiro_ni_Somaru_Saka,TV,Comedy Harem Romance School,Marvelous_Entertainment feng Delfi_Sound Pony_Canyon_Enterprise Sentai_Filmworks TNK,Kugimiya_Rie Hatano_Wataru Hirano_Aya 
6.78,Akame_ga_Kill!_Theater,ONA,Comedy,TOHO_animation Sentai_Filmworks White_Fox C-Station,Amamiya_Sora Asakawa_Yuu Matsuoka_Yoshitsugu Tamura_Yukari Saito_Soma 
6.91,Akame_ga_Kill!_Recap,Special,Action Adventure Fantasy,TOHO_animation White_Fox,Amamiya_Sora Saito_Soma 
7.84,Akame_ga_Kill!,TV,Action Adventure Fantasy,Square_Enix TOHO_animation Sentai_Filmworks White_Fox,Amamiya_Sora Asakawa_Yuu Tamura_Yukari Saito_Soma 
5.94,Akai_Hayate,OVA,Action Martial_Arts Super_Power,Minami_Machi_Bugyousho Studio_Pierrot,Inoue_Kazuhiko 
7.78,Akagami_no_Shirayuki-hime:_Nandemonai_Takaramono,_Kono_Page,OVA,Drama Fantasy Romance Shoujo,Bones,Okamoto_Nobuhiko Hayami_Saori Osaka_Ryota 
8.14,Akagami_no_Shirayuki-hime_2nd_Season,TV,Drama Fantasy Romance Shoujo,Hakusensha Warner_Bros. KlockWorx Showgate FUNimation_Entertainment Bones,Okamoto_Nobuhiko Hayami_Saori Osaka_Ryota 
7.93,Akagami_no_Shirayuki-hime,TV,Drama Fantasy Romance Shoujo,Hakusensha Warner_Bros. KlockWorx Showgate FUNimation_Entertainment Bones,Okamoto_Nobuhiko Hayami_Saori Osaka_Ryota 
8.13,Ajin_2nd_Season,TV,Action Mystery Horror Supernatural Seinen,King_Records Polygon_Pictures,Miyano_Mamoru 
7.78,Ajin,TV,Action Mystery Horror Supernatural Seinen,Mainichi_Broadcasting_System Kodansha KlockWorx Sony_Music_Communications TOHO_animation King_Records Polygon_Pictures,Miyano_Mamoru Asai_Ayaka 
7.77,Air_Gear:_Kuro_no_Hane_to_Nemuri_no_Mori_-_Break_on_the_Sky,OVA,Action Comedy Ecchi Shounen Sports,Satelight,Okamoto_Nobuhiko 
7.69,Air_Gear,TV,Action Comedy Ecchi Shounen Sports,Marvelous_Entertainment Kodansha ADV_Films FUNimation_Entertainment Toei_Animation,KENN Kamakari_Kenta Ise_Mariya Kikuchi_Masami 
7.19,Aikatsu_Stars!,TV,Music School Shoujo Slice_of_Life,TV_Tokyo Bandai_Namco_Pictures,Tomita_Miyu Asai_Ayaka Tsuda_Minami Ueda_Reina 
6.58,Active_Raid:_Kidou_Kyoushuushitsu_Dai_Hachi_Gakari_2nd,TV,Sci-Fi Comedy Police Mecha,Orange Production_IMS,Shimazaki_Nobunaga Sakurai_Takahiro 
6.01,Active_Raid:_Kidou_Kyoushuushitsu_Dai_Hachi_Gakari,TV,Comedy Mecha Police Sci-Fi,Sotsu Magic_Capsule flying_DOG Production_IMS Orange,Ozawa_Ari Shimazaki_Nobunaga Sakurai_Takahiro 
7.65,Acchi_Kocchi_(TV),TV,Comedy Romance School Seinen Slice_of_Life,Pony_Canyon TBS DAX_Production BS-TBS Jumondo Houbunsha Sentai_Filmworks AIC,Fukuhara_Kaori Asanuma_Shintaro Nabatame_Hitomi Ookubo_Rumi Okamoto_Nobuhiko 
6.38,Accel_World:_Acchel_World.,Special,Sci-Fi Comedy,Viz_Media J.C.Staff,Kaji_Yuki Toyosaki_Aki Misawa_Sachika Asanuma_Shintaro 
7.32,Accel_World_EX,OVA,Action Game Sci-Fi Romance School,Sunrise,Kaji_Yuki Toyosaki_Aki Misawa_Sachika Asanuma_Shintaro 
7.62,Accel_World,TV,Action Game Sci-Fi Romance School,Genco Rakuonsha Warner_Bros. flying_DOG ASCII_Media_Works Viz_Media Sunrise,Kaji_Yuki Toyosaki_Aki Misawa_Sachika Asanuma_Shintaro 
6.78,Absolute_Duo,TV,Action Harem Supernatural Romance Ecchi School,Half_H.P_Studio AT-X feng Showgate FUNimation_Entertainment 8bit,Yamazaki_Haruka Imamura_Ayaka Matsuoka_Yoshitsugu Yamamoto_Nozomi Suwa_Ayaka 
7.93,91_Days,TV,Action Historical Drama,Shochiku Mainichi_Broadcasting_System FUNimation_Entertainment Shuka,Kondou_Takashi Asai_Ayaka Eguchi_Takuya 
7.95,3-gatsu_no_Lion,TV,Game Slice_of_Life Drama Seinen,Aniplex Dentsu NHK Hakusensha Asmik_Ace_Entertainment Toy,s_Factory Aniplex_of_America Shaft 
6.68,12-sai.:_Chicchana_Mune_no_Tokimeki,TV,Romance School Shoujo,Shogakukan_Productions AT-X Nippon_Columbia Tokyo_MX Shogakukan East_Japan_Marketing_&_Communications OLM,Kimura_Juri Kakuma_Ai Horie_Shun Saito_Soma 
6.25,11eyes:_Momoiro_Genmutan,Special,Ecchi Comedy Super_Power Supernatural,Marvelous_Entertainment Sentai_Filmworks Doga_Kobo,Ichimura_Oma Asakawa_Yuu Gotou_Mai Hagiwara_Emiko Ono_Daisuke Rikimaru_Noriko Morikubo_Showtaro 
6.49,11eyes,TV,Action Ecchi Super_Power Supernatural,Marvelous_Entertainment Pony_Canyon feng Sentai_Filmworks Doga_Kobo,Ichimura_Oma Asakawa_Yuu Gotou_Mai Ono_Daisuke Kanada_Aki Rikimaru_Noriko Morikubo_Showtaro 
7.41,07-Ghost,TV,Action Demons Fantasy Magic Military Shoujo,Discotek_Media Studio_Deen,Hayami_Show Chiba_Susumu Suwabe_Junichi Inoue_Marina Saiga_Mitsuki Miyata_Kouki 
